Bangkok,25749,36658,158059
SamutPrakan,15683,20382,95975
Nonthaburi,25950,31152,179007
PathumThani,21731,25143,193153
PhraNakhonSiAyutthaya,15859,19676,53222
AngThong,13318,18300,118556
LopBuri,15870,19935,162620
SingBuri,16209,18510,88518
ChaiNat,13358,13058,98121
Saraburi,17063,20468,111111
ChonBuri,19770,21869,128114
Rayong,17215,20018,114145
Chanthaburi,17279,20606,176403
Trat,13296,20286,90976
Chachoengsao,14646,16770,77611
PrachinBuri,14539,16031,96975
NakhonNayok,13091,14104,96838
SaKaeo,8342,11577,88116
Ratchaburi,16961,23202,110017
Kanchanaburi,13821,15606,114158
SuphanBuri,12645,14783,93851
NakhonPathom,19070,33835,167798
SamutSakhon,14197,19555,138320
SamutSongkhram,11833,16923,8411
Phetchaburi,13144,15042,85158
PrachuapKhiriKhan,16477,16238,128589
ChiangMai,12606,14904,114321
Lamphun,12791,14361,119570
Lampang,12767,15585,152660
Uttaradit,12974,14220,125520
Phrae,10454,12591,64098
Nan,11626,10590,107155
Phayao,9815,10352,101306
ChiangRai,10484,10495,114376
MaeHongSon,6147,6544,33352
NakhonSawan,10045,14953,139995
UthaiThani,10260,13258,106149
KamphaengPhet,13196,15337,130939
Tak,9568,10963,80859
Sukhothai,9933,13843,108027
Phitsanulok,11416,14117,115282
Phichit,10840,13488,104379
Phetchabun,10392,11323,116290
NakhonRatchasima,10154,13320,93790
BuriRam,8632,9698,100336
Surin,12028,11850,143741
SiSaKet,9316,9406,95247
UbonRatchathani,9255,12035,95706
Yasothon,8914,9969,78766
Chaiyaphum,8842,11551,96854
AmnatCharoen,10361,13134,96400
Bungkan,0,0,0
NongBuaLamPhu,11250,11030,108075
KhonKaen,9335,11349,80653
UdonThani,12257,14097,97136
Loei,12187,12083,118555
NongKhai,12281,12877,109812
MahaSarakham,10579,13646,109654
RoiEt,10053,10849,109546
Kalasin,10232,12470,109921
SakonNakhon,11006,11295,96367
NakhonPhanom,10256,9927,85741
Mukdahan,12211,13497,132063
NakhonSiThammarat,14918,17377,107541
Krabi,14849,18446,156798
Phangnga,15979,29617,87955
Phuket,19492,25630,72379
SuratThani,16245,21747,125727
Ranong,15101,18679,92274
Chumphon,14044,17232,116327
Songkhla,18111,22093,174109
Satun,11737,14307,69314
Trang,18370,20801,133375
Phattalung,18124,18045,117631
Pattani,11490,12547,82046
Yala,13077,14354,55672
Narathiwat,8201,11586,57235
