Bangkok,29969,48951,218741
SamutPrakan,20158,23798,115169
Nonthaburi,29099,35120,258853
PathumThani,18993,21616,145293
PhraNakhonSiAyutthaya,17534,22302,81609
AngThong,16591,21140,133918
LopBuri,14875,17178,87009
SingBuri,19207,26068,133378
ChaiNat,17392,20181,175957
Saraburi,19377,27114,142504
ChonBuri,20573,23007,186509
Rayong,18546,21929,104910
Chanthaburi,18861,24278,124266
Trat,17051,28118,91346
Chachoengsao,17958,23031,102745
PrachinBuri,22883,25338,127503
NakhonNayok,13807,17042,77091
SaKaeo,15130,17781,106147
Ratchaburi,13847,18713,116257
Kanchanaburi,13777,15210,68786
SuphanBuri,11908,15928,53265
NakhonPathom,15981,22955,59484
SamutSakhon,18164,20850,104822
SamutSongkhram,15601,15068,9244
Phetchaburi,18275,20026,125291
PrachuapKhiriKhan,17236,17477,159828
ChiangMai,15607,18323,89080
Lamphun,16605,18778,177830
Lampang,14693,18454,157080
Uttaradit,13433,17602,112976
Phrae,14135,18157,131010
Nan,14280,16249,126774
Phayao,12348,14457,104638
ChiangRai,12726,15034,111092
MaeHongSon,7224,9024,41957
NakhonSawan,13848,21561,174706
UthaiThani,12710,18487,140001
KamphaengPhet,13540,18672,105745
Tak,10261,12936,60390
Sukhothai,13315,18098,122772
Phitsanulok,15163,17474,157766
Phichit,14623,18130,161005
Phetchabun,11423,15678,91930
NakhonRatchasima,14251,19399,116108
BuriRam,13629,17316,161895
Surin,14401,18287,196381
SiSaKet,11672,13944,112526
UbonRatchathani,16030,21660,173065
Yasothon,12842,16767,165082
Chaiyaphum,12145,15794,105134
AmnatCharoen,14862,15975,145074
Bungkan,0,0,0
NongBuaLamPhu,16381,17139,121289
KhonKaen,12866,16030,77193
UdonThani,19086,22017,165688
Loei,15155,17958,123951
NongKhai,15517,16979,64424
MahaSarakham,16636,25461,167718
RoiEt,15476,20167,187017
Kalasin,13028,17293,154871
SakonNakhon,12337,15326,138725
NakhonPhanom,12049,14053,76338
Mukdahan,15637,19048,182411
NakhonSiThammarat,20756,29970,89625
Krabi,19812,33350,177495
Phangnga,19272,24470,82728
Phuket,21255,26048,71829
SuratThani,22826,34417,144725
Ranong,23602,26049,161420
Chumphon,20567,28022,130164
Songkhla,20612,26711,107472
Satun,18954,21047,101355
Trang,22687,36245,154678
Phattalung,18112,25202,169819
Pattani,14012,16122,83777
Yala,14777,21859,60167
Narathiwat,13901,16834,40943
