Bangkok,25615,39020,155396
SamutPrakan,15910,21302,85904
Nonthaburi,26414,32743,196895
PathumThani,19468,26107,152187
PhraNakhonSiAyutthaya,16757,21676,54762
AngThong,13431,17704,105430
LopBuri,14462,16852,140722
SingBuri,14988,20558,76219
ChaiNat,12841,13995,180175
Saraburi,15467,22363,120194
ChonBuri,21048,22260,139319
Rayong,18165,25090,149593
Chanthaburi,16449,18866,186301
Trat,13463,16664,122305
Chachoengsao,16231,20665,151114
PrachinBuri,16471,18263,120822
NakhonNayok,13584,15983,98113
SaKaeo,9975,13593,101281
Ratchaburi,14786,17576,96086
Kanchanaburi,12457,15326,91113
SuphanBuri,11892,15112,80475
NakhonPathom,18139,25447,100110
SamutSakhon,14076,18735,69569
SamutSongkhram,9918,12634,5778
Phetchaburi,13256,17855,76667
PrachuapKhiriKhan,15977,17932,140536
ChiangMai,12480,14386,93611
Lamphun,12789,14104,108318
Lampang,11360,13531,116734
Uttaradit,11217,15001,109336
Phrae,11491,14045,117489
Nan,11578,11407,127524
Phayao,10495,11348,116854
ChiangRai,10702,13736,101202
MaeHongSon,5333,7245,63553
NakhonSawan,10699,15141,145170
UthaiThani,9726,12036,121374
KamphaengPhet,12461,15559,117473
Tak,8874,10791,62642
Sukhothai,8695,12720,85399
Phitsanulok,11276,13364,110830
Phichit,10160,15603,143162
Phetchabun,10946,12914,123574
NakhonRatchasima,11305,14177,108337
BuriRam,8537,10263,83032
Surin,12116,12257,111983
SiSaKet,9070,10782,99032
UbonRatchathani,10399,14534,105811
Yasothon,9209,10040,60451
Chaiyaphum,9344,11253,91550
AmnatCharoen,10224,11889,109063
Bungkan,0,0,0
NongBuaLamPhu,11717,11889,117417
KhonKaen,11247,15065,119399
UdonThani,14759,17273,104050
Loei,12341,13765,108560
NongKhai,12131,12885,93981
MahaSarakham,11605,15812,90740
RoiEt,10638,11779,117702
Kalasin,10099,12507,144115
SakonNakhon,10916,11957,113124
NakhonPhanom,9652,10009,70049
Mukdahan,11818,13406,115677
NakhonSiThammarat,14990,18087,104004
Krabi,15553,18852,182167
Phangnga,17870,22211,106854
Phuket,19329,25084,82362
SuratThani,18133,26207,142231
Ranong,16358,21620,157317
Chumphon,15074,19003,127313
Songkhla,18668,22342,142526
Satun,14716,17328,116896
Trang,19149,23650,178839
Phattalung,15750,18670,129637
Pattani,12531,11840,80120
Yala,11990,13698,56369
Narathiwat,9711,13148,36368
