Bangkok,30334,42380,207665
SamutPrakan,18450,23359,117361
Nonthaburi,29487,34626,240769
PathumThani,22460,26686,220761
PhraNakhonSiAyutthaya,20717,25820,163425
AngThong,20773,25506,309494
LopBuri,16764,22405,176483
SingBuri,17787,25419,55605
ChaiNat,14272,18719,146132
Saraburi,17378,21947,148743
ChonBuri,21312,24052,191149
Rayong,18559,22983,144786
Chanthaburi,17290,19442,125646
Trat,13365,16949,99210
Chachoengsao,19009,21252,95398
PrachinBuri,18472,22548,175679
NakhonNayok,13574,17503,79420
SaKaeo,12396,15525,105886
Ratchaburi,16951,20994,121084
Kanchanaburi,15669,17571,107527
SuphanBuri,11924,15797,63524
NakhonPathom,17308,24989,101030
SamutSakhon,18074,20978,133793
SamutSongkhram,17830,18363,27061
Phetchaburi,14509,17440,70298
PrachuapKhiriKhan,15782,16934,173821
ChiangMai,14234,16141,131525
Lamphun,16476,20048,180285
Lampang,10744,14020,91695
Uttaradit,10275,15865,99686
Phrae,10695,13034,83630
Nan,12290,14624,165434
Phayao,10399,13189,102774
ChiangRai,10337,13278,94392
MaeHongSon,5283,7936,32562
NakhonSawan,11683,17127,144951
UthaiThani,12000,17425,139482
KamphaengPhet,13423,18115,98772
Tak,9615,12453,77591
Sukhothai,11501,15411,102003
Phitsanulok,12163,15779,128177
Phichit,14798,21821,138861
Phetchabun,12862,17096,156388
NakhonRatchasima,13939,19158,134654
BuriRam,10427,13734,117943
Surin,12038,11310,118378
SiSaKet,8725,10666,88343
UbonRatchathani,11343,16747,116045
Yasothon,10101,11813,85676
Chaiyaphum,10324,12380,103092
AmnatCharoen,12772,14763,159633
Bungkan,0,0,0
NongBuaLamPhu,13302,14012,118246
KhonKaen,13892,19779,113084
UdonThani,17307,16684,118490
Loei,11181,13411,96423
NongKhai,13598,14467,62462
MahaSarakham,12692,19845,177380
RoiEt,12176,14932,138771
Kalasin,9186,11748,97711
SakonNakhon,12623,16679,161441
NakhonPhanom,10868,12859,92430
Mukdahan,13188,17370,129737
NakhonSiThammarat,18763,23296,167985
Krabi,19377,23647,219674
Phangnga,15100,22356,56697
Phuket,23783,28515,80201
SuratThani,19720,30604,188247
Ranong,16218,19274,102741
Chumphon,16452,25179,124643
Songkhla,18929,27356,115079
Satun,18043,20695,183123
Trang,17085,21992,132883
Phattalung,17613,19381,140417
Pattani,13784,13511,82370
Yala,10580,19619,18902
Narathiwat,10486,11244,26246
