Bangkok,22982,29843,160776
SamutPrakan,15669,19946,78750
Nonthaburi,20357,26658,203040
PathumThani,17112,21530,145015
PhraNakhonSiAyutthaya,11071,14980,49446
AngThong,10249,12855,43598
LopBuri,13287,15003,141603
SingBuri,12899,14788,100573
ChaiNat,12214,13383,93763
Saraburi,13492,18742,99883
ChonBuri,15614,22286,204158
Rayong,14649,18962,135492
Chanthaburi,13823,15897,184233
Trat,10660,14080,86974
Chachoengsao,15398,16938,162527
PrachinBuri,13118,15032,86163
NakhonNayok,12141,13096,100836
SaKaeo,7489,10777,64943
Ratchaburi,15984,19867,106568
Kanchanaburi,10701,12122,62816
SuphanBuri,12901,15781,135262
NakhonPathom,18674,20701,174832
SamutSakhon,12759,15347,64616
SamutSongkhram,10451,12528,23533
Phetchaburi,10736,13040,42150
PrachuapKhiriKhan,11528,13806,79519
ChiangMai,11121,12586,91892
Lamphun,10247,11843,147882
Lampang,8660,10576,71597
Uttaradit,8754,10940,86237
Phrae,9480,11333,90844
Nan,10479,10751,122035
Phayao,7905,9643,54986
ChiangRai,8428,8920,95424
MaeHongSon,7684,8676,58187
NakhonSawan,8307,10200,82101
UthaiThani,8125,9817,84975
KamphaengPhet,11554,12776,94755
Tak,8799,9549,77658
Sukhothai,8347,11427,73740
Phitsanulok,11208,12751,152893
Phichit,9454,10951,119656
Phetchabun,7829,9572,93276
NakhonRatchasima,9141,11398,87239
BuriRam,7585,8632,87585
Surin,7020,8095,87598
SiSaKet,7085,8745,71816
UbonRatchathani,8619,11697,80471
Yasothon,8927,9410,79656
Chaiyaphum,7579,9161,78325
AmnatCharoen,9865,11423,112722
Bungkan,0,0,0
NongBuaLamPhu,7594,8318,100550
KhonKaen,10642,13088,98315
UdonThani,8365,10789,73521
Loei,8500,10013,79127
NongKhai,10075,11466,90295
MahaSarakham,8061,10178,85820
RoiEt,9282,9817,76460
Kalasin,7011,8908,65456
SakonNakhon,8004,8971,75869
NakhonPhanom,8704,8168,85837
Mukdahan,8792,9284,89132
NakhonSiThammarat,12815,14079,104706
Krabi,15737,16877,201625
Phangnga,11280,16965,47684
Phuket,19665,25082,71471
SuratThani,14841,16150,87113
Ranong,12910,14328,81812
Chumphon,10667,11482,90195
Songkhla,14738,15481,58636
Satun,10296,11826,82046
Trang,13768,17038,193424
Phattalung,12391,14985,89967
Pattani,11097,11837,91978
Yala,9937,11886,54635
Narathiwat,9040,9240,39297
