Bangkok,20448,26909,135137
SamutPrakan,14297,15745,67390
Nonthaburi,19088,24566,102994
PathumThani,17239,19282,139691
PhraNakhonSiAyutthaya,11924,14904,23636
AngThong,9799,12544,81035
LopBuri,9023,10649,47821
SingBuri,10589,11894,49751
ChaiNat,8794,12693,61866
Saraburi,9987,12319,61918
ChonBuri,12353,13807,66669
Rayong,10587,14739,61997
Chanthaburi,9873,11527,115517
Trat,7673,7426,23342
Chachoengsao,12735,13781,120083
PrachinBuri,9696,10477,33628
NakhonNayok,10651,12595,123144
SaKaeo,7215,8355,48980
Ratchaburi,11682,15174,59401
Kanchanaburi,8683,11680,84269
SuphanBuri,6392,13334,70623
NakhonPathom,15348,18297,115912
SamutSakhon,11537,13775,64086
SamutSongkhram,11640,13072,45602
Phetchaburi,9494,12390,87044
PrachuapKhiriKhan,8607,10840,56790
ChiangMai,7477,9243,52547
Lamphun,8480,10231,65838
Lampang,7712,9735,69200
Uttaradit,6729,7270,23839
Phrae,7960,9366,48371
Nan,6699,7334,52457
Phayao,6136,5928,39296
ChiangRai,6487,7930,28252
MaeHongSon,5225,6317,31601
NakhonSawan,7723,7602,66422
UthaiThani,7247,9598,47623
KamphaengPhet,10366,12354,85656
Tak,7805,9674,55696
Sukhothai,5892,7156,43584
Phitsanulok,7224,8965,65358
Phichit,8179,8318,63167
Phetchabun,5980,8435,84428
NakhonRatchasima,6524,8415,50384
BuriRam,6784,8137,72402
Surin,5888,6226,54741
SiSaKet,6174,7593,67821
UbonRatchathani,7747,9874,65131
Yasothon,5916,4826,17745
Chaiyaphum,5940,7683,42285
AmnatCharoen,6363,7711,53567
Bungkan,0,0,0
NongBuaLamPhu,5272,5532,46584
KhonKaen,7322,9757,64250
UdonThani,5169,6841,34073
Loei,6560,7387,62499
NongKhai,7547,7123,37583
MahaSarakham,7803,8746,55254
RoiEt,6462,7207,43830
Kalasin,6713,6469,41435
SakonNakhon,6019,7751,44517
NakhonPhanom,5486,5343,31534
Mukdahan,8309,9485,118170
NakhonSi Thammarat,8746,10789,54589
Krabi,10225,9928,83721
Phangnga,8573,10217,28375
Phuket,18054,20702,40676
SuratThani,9909,10800,57404
Ranong,9350,9410,49894
Chumphon,8551,10454,98332
Songkhla,9761,13505,36969
Satun,8056,9711,72649
Trang,9888,12782,51369
Phattalung,9367,11550,92554
Pattani,9415,9759,46522
Yala,8623,9932,59177
Narathiwat,6325,7802,15087
