Bangkok,21919,29589,162199
SamutPrakan,14836,19680,84345
Nonthaburi,22702,29119,145908
PathumThani,17836,22838,232245
PhraNakhonSiAyutthaya,11335,13319,26107
AngThong,8834,11653,29021
LopBuri,8826,11010,57245
SingBuri,11710,14434,82645
ChaiNat,9910,11119,63025
Saraburi,10814,14677,74101
ChonBuri,13635,16797,62991
Rayong,9967,13255,63182
Chanthaburi,13266,15959,145209
Trat,9998,13822,53276
Chachoengsao,13157,14829,122393
PrachinBuri,11100,12720,48791
NakhonNayok,9255,10722,62397
SaKaeo,6871,9951,69543
Ratchaburi,13205,14692,98283
Kanchanaburi,9702,15380,86943
SuphanBuri,9783,12984,41290
NakhonPathom,15441,18674,124111
SamutSakhon,13146,16437,131561
SamutSongkhram,11489,13876,48363
Phetchaburi,10005,15993,94257
PrachuapKhiriKhan,8983,11666,57042
ChiangMai,8465,9582,68716
Lamphun,9128,11328,75364
Lampang,6925,9759,44629
Uttaradit,6707,8581,42717
Phrae,8005,10048,62064
Nan,7009,8130,60273
Phayao,7387,9520,65646
ChiangRai,7678,8369,51400
MaeHongSon,5884,6696,29390
NakhonSawan,7854,9660,45543
UthaiThani,5732,6519,33576
KamphaengPhet,10437,12583,64714
Tak,6422,7763,34293
Sukhothai,6330,8299,50398
Phitsanulok,8827,10637,71504
Phichit,9024,10887,97142
Phetchabun,6185,9548,48507
NakhonRatchasima,7405,9494,51017
BuriRam,6677,7861,60660
Surin,6027,6675,50249
SiSaKet,6385,7564,60652
UbonRatchathani,8053,12258,70783
Yasothon,5744,6045,38359
Chaiyaphum,7269,8364,38379
AmnatCharoen,7335,9307,49225
Bungkan,0,0,0
NongBuaLamPhu,6062,7326,64569
KhonKaen,8215,11554,96173
UdonThani,7859,9885,83893
Loei,7487,9289,48796
NongKhai,9038,11001,64978
MahaSarakham,7977,9642,67866
RoiEt,8146,9442,62342
Kalasin,8805,8736,73432
SakonNakhon,8998,10227,81140
NakhonPhanom,7090,7613,121363
Mukdahan,8615,9236,66520
NakhonSiThammarat,11368,12317,84791
Krabi,12792,13318,105405
Phangnga,9832,12428,22316
Phuket,18689,26363,135782
SuratThani,11360,14056,112502
Ranong,9733,10765,91400
Chumphon,8754,10922,87802
Songkhla,11601,14192,75200
Satun,9233,12702,56518
Trang,11208,14332,63839
Phattalung,9865,10820,80867
Pattani,9496,9702,46145
Yala,9583,10018,56566
Narathiwat,7193,7603,34023
